method,query_type,num_relations,graph_type,problem,num_decimal_pos,num_thres,num_mandatory_vars,num_approx_vars,num_total_vars
Legacy,steinbrunn,6,CHAIN,3,2,5,126,235,361
Novel,steinbrunn,6,CHAIN,3,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,3,2,6,126,282,408
Novel,steinbrunn,6,CHAIN,3,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,3,2,7,126,329,455
Novel,steinbrunn,6,CHAIN,3,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,3,2,8,126,376,502
Novel,steinbrunn,6,CHAIN,3,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,4,0,1,126,22,148
Novel,steinbrunn,6,CHAIN,4,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,4,0,2,126,44,170
Novel,steinbrunn,6,CHAIN,4,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,4,0,3,126,66,192
Novel,steinbrunn,6,CHAIN,4,0,3,44,24,68
Legacy,steinbrunn,6,CHAIN,4,0,4,126,88,214
Novel,steinbrunn,6,CHAIN,4,0,4,44,40,84
Legacy,steinbrunn,6,CHAIN,4,0,5,126,110,236
Novel,steinbrunn,6,CHAIN,4,0,5,44,60,104
Legacy,steinbrunn,6,CHAIN,4,0,6,126,132,258
Novel,steinbrunn,6,CHAIN,4,0,6,44,84,128
Legacy,steinbrunn,6,CHAIN,4,0,7,126,154,280
Novel,steinbrunn,6,CHAIN,4,0,7,44,112,156
Legacy,steinbrunn,6,CHAIN,4,0,8,126,176,302
Novel,steinbrunn,6,CHAIN,4,0,8,44,144,188
Legacy,steinbrunn,6,CHAIN,4,1,1,126,35,161
Novel,steinbrunn,6,CHAIN,4,1,1,44,16,60
Legacy,steinbrunn,6,CHAIN,4,1,2,126,70,196
Novel,steinbrunn,6,CHAIN,4,1,2,44,36,80
Legacy,steinbrunn,6,CHAIN,4,1,3,126,105,231
Novel,steinbrunn,6,CHAIN,4,1,3,44,60,104
Legacy,steinbrunn,6,CHAIN,4,1,4,126,140,266
Novel,steinbrunn,6,CHAIN,4,1,4,44,88,132
